indicador,pais,anio,valor
NY.GDP.PCAP.KD,URY,1997,11138.8676127212
NY.GDP.PCAP.KD,URY,1996,10316.2027570949
NY.GDP.PCAP.KD,URY,1995,9822.89680356996
NY.GDP.PCAP.KD,URY,1994,10019.3479243955
NY.GDP.PCAP.KD,URY,1993,9388.10939080161
NY.GDP.PCAP.KD,URY,1992,9193.55122074713
NY.GDP.PCAP.KD,URY,1991,8565.26927800028
NY.GDP.PCAP.KD,URY,1990,8320.3559048693
NY.GDP.PCAP.KD,USA,2025,67945.6146497427
NY.GDP.PCAP.KD,USA,2024,66856.5131698371
NY.GDP.PCAP.KD,USA,2023,65667.281580468
NY.GDP.PCAP.KD,USA,2022,64322.2332819139
NY.GDP.PCAP.KD,USA,2021,63096.7856149746
NY.GDP.PCAP.KD,USA,2020,59533.609024416
NY.GDP.PCAP.KD,USA,2019,61047.9648238812
NY.GDP.PCAP.KD,USA,2018,59817.6556798612
NY.GDP.PCAP.KD,USA,2017,58435.9707535619
NY.GDP.PCAP.KD,USA,2016,57430.8499298804
NY.GDP.PCAP.KD,USA,2015,56849.4697923159
NY.GDP.PCAP.KD,USA,2014,55665.2411187802
NY.GDP.PCAP.KD,USA,2013,54728.860179812
NY.GDP.PCAP.KD,USA,2012,54000.8410778217
NY.GDP.PCAP.KD,USA,2011,53215.5362314388
NY.GDP.PCAP.KD,USA,2010,52812.6829869279
NY.GDP.PCAP.KD,USA,2009,51863.6183416558
NY.GDP.PCAP.KD,USA,2008,53703.962897927
NY.GDP.PCAP.KD,USA,2007,54152.8292673551
NY.GDP.PCAP.KD,USA,2006,53596.315236412
NY.GDP.PCAP.KD,USA,2005,52649.5713060461
NY.GDP.PCAP.KD,USA,2004,51348.3473386025
NY.GDP.PCAP.KD,USA,2003,49905.5233080788
NY.GDP.PCAP.KD,USA,2002,48967.3661217576
NY.GDP.PCAP.KD,USA,2001,48597.4246124122
NY.GDP.PCAP.KD,USA,2000,48616.2546282435
NY.GDP.PCAP.KD,USA,1999,47234.2455290381
NY.GDP.PCAP.KD,USA,1998,45596.4306879224
NY.GDP.PCAP.KD,USA,1997,44151.6860410035
NY.GDP.PCAP.KD,USA,1996,42783.8165724095
NY.GDP.PCAP.KD,USA,1995,41710.8207256668
NY.GDP.PCAP.KD,USA,1994,41106.9881833481
NY.GDP.PCAP.KD,USA,1993,40002.4762253198
NY.GDP.PCAP.KD,USA,1992,39447.9472850606
NY.GDP.PCAP.KD,USA,1991,38637.8398179104
NY.GDP.PCAP.KD,USA,1990,39200.0658091762
NY.GDP.PCAP.KD,VNM,2025,4308.20507512834
